protein_A	protein_B	UniProt ID (protein_A)	UniProt ID (protein_B)	source
yaiE__b0391__JW0382	bipA__b3871__JW5571	P0C037	P32132	Y2H
ybeY__b0659__JW0656	bipA__b3871__JW5571	P0A898	P32132	LIT
yigZ__b3848__JW5577	bipA__b3871__JW5571	P27862	P32132	LIT
sdaB__b2797__JW2768	blc__b4149__JW4110	P30744	P0A901	LIT
bolA__b0435__JW5060	bolA__b0435__JW5060	P0ABE2	P0ABE2	Y2H
ydhD__b1654__JW1646	bolA__b0435__JW5060	P0AC69	P0ABE2	LIT
pheS__b1714__JW5277	brnQ__b0401__JW0391	P08312	P0AD99	Y2H
btuD__b1709__JW1699	btuC__b1711__JW1701	P06611	P06609	LIT
ldcC__b0186__JW0181	cadA__b4131__JW4092	P52095	P0A9H3	LIT
lysP__b2156__JW2143	cadC__b4133__JW4094	P25737	P23890	LIT
allR__b0506__JW0494	caiC__b0037__JW0036	P0ACN4	P31552	Y2H
caiC__b0037__JW0036	caiC__b0037__JW0036	P31552	P31552	Y2H
acnA__b1276__JW1268	caiD__b0036__JW0035	P25516	P31551	Y2H
crp__b3357__JW5702	caiF__b0034__JW0033	P0ACJ8	P0AE58	Y2H_LIT
nikR__b3481__JW3446	caiF__b0034__JW0033	P0A6Z6	P0AE58	Y2H
sgbE__b3583__JW3555	caiF__b0034__JW0033	P37680	P0AE58	Y2H
yeeI__b1976__JW1958	caiF__b0034__JW0033	P76346	P0AE58	Y2H
tufB__b3980__JW3943	can__b0126__JW0122	P0A6N1	P61517	LIT
carB__b0033__JW0031	carA__b0032__JW0030	P00968	P0A6F1	Y2H_LIT
carB__b0033__JW0031	carB__b0033__JW0031	P00968	P00968	Y2H_LIT
dnaK__b0014__JW0013	cbpA__b1000__JW0985	P0A6Y8	P36659	Y2H_LIT
mukB__b0924__JW0907	cbpA__b1000__JW0985	P22523	P36659	LIT
rpsG__b3341__JW3303	cbpA__b1000__JW0985	P02359	P36659	LIT
srmB__b2576__JW2560	cbpA__b1000__JW0985	P21507	P36659	LIT
ydjI__b1773__JW1762	cbrA__b3690__JW5631	P77704	P31456	LIT
dtd__b3887__JW3858	cca__b3056__JW3028	P0A6M4	P06961	LIT
tufB__b3980__JW3943	cca__b3056__JW3028	P0A6N1	P06961	LIT
ada__b2213__JW2201	cchB__b2456__JW2440	P06134	P0AEJ8	Y2H
bcp__b2480__JW2465	cchB__b2456__JW2440	P0AE52	P0AEJ8	Y2H
cytR__b3934__JW3905	cchB__b2456__JW2440	P0ACN7	P0AEJ8	Y2H
rpmE__b3936__JW3907	cchB__b2456__JW2440	P0A7M9	P0AEJ8	Y2H
yggU__b2953__JW5479	cchB__b2456__JW2440	P52060	P0AEJ8	Y2H
yiiS__b3922__JW3893	cchB__b2456__JW2440	P32162	P0AEJ8	Y2H
yijD__b3964__JW3936	cchB__b2456__JW2440	P0AF40	P0AEJ8	Y2H
yjcB__b4060__JW5718	cchB__b2456__JW2440	P32700	P0AEJ8	Y2H
ytfQ__b4227__JW4186	cchB__b2456__JW2440	P39325	P0AEJ8	Y2H
ccmC__b2199__JW2187	ccmA__b2201__JW5366	P0ABM1	P33931	LIT
ccmD__b2198__JW2186	ccmA__b2201__JW5366	P0ABM5	P33931	LIT
ccmE__b2197__JW2185	ccmC__b2199__JW2187	P69490	P0ABM1	LIT
ccmC__b2199__JW2187	ccmD__b2198__JW2186	P0ABM1	P0ABM5	LIT
ccmE__b2197__JW2185	ccmD__b2198__JW2186	P69490	P0ABM5	LIT
ccmF__b2196__JW2184	ccmE__b2197__JW2185	P33927	P69490	LIT
ccmH__b2194__JW2182	ccmF__b2196__JW2184	P0ABM9	P33927	LIT
dipZ__b4136__JW5734	ccmG__b2195__JW2183	P36655	P0AA86	LIT
cchB__b2456__JW2440	cdd__b2143__JW2131	P0AEJ8	P0ABF6	Y2H
cdd__b2143__JW2131	cdd__b2143__JW2131	P0ABF6	P0ABF6	Y2H
yafQ__b0225__JW0215	cedA__b1731__JW1720	Q47149	P0AE60	LIT
hrpB__b0148__JW0144	cfa__b1661__JW1653	P37024	P0A9H7	LIT
araC__b0064__JW0063	chbR__b1735__JW1724	P0A9E0	P17410	Y2H
chbR__b1735__JW1724	chbR__b1735__JW1724	P17410	P17410	Y2H
groL__b4143__JW4103	chbR__b1735__JW1724	P0A6F5	P17410	LIT
lexA__b4043__JW4003	chbR__b1735__JW1724	P0A7C2	P17410	Y2H
rhaR__b3906__JW3877	chbR__b1735__JW1724	P09378	P17410	Y2H
rhaS__b3905__JW3876	chbR__b1735__JW1724	P09377	P17410	Y2H
rpoD__b3067__JW3039	chbR__b1735__JW1724	P00579	P17410	Y2H
ypdC__b2382__JW2379	chbR__b1735__JW1724	P77396	P17410	Y2H
cheZ__b1881__JW1870	cheA__b1888__JW1877	P0A9H9	P07363	LIT
glpQ__b2239__JW2233	cheA__b1888__JW1877	P09394	P07363	LIT
metK__b2942__JW2909	cheA__b1888__JW1877	P0A817	P07363	LIT
proS__b0194__JW0190	cheA__b1888__JW1877	P16659	P07363	LIT
cheA__b1888__JW1877	cheB__b1883__JW1872	P07363	P07330	LIT
tar__b1886__JW1875	cheB__b1883__JW1872	P07017	P07330	LIT
cheZ__b1881__JW1870	cheR__b1884__JW1873	P0A9H9	P07364	LIT
rpe__b3386__JW3349	cheR__b1884__JW1873	P0AG07	P07364	LIT
tar__b1886__JW1875	cheR__b1884__JW1873	P07017	P07364	LIT
cheA__b1888__JW1877	cheW__b1887__JW1876	P07363	P0A964	LIT
tsr__b4355__JW4318	cheW__b1887__JW1876	P02942	P0A964	Y2H_LIT
yncE__b1452__JW1447	cheW__b1887__JW1876	P76116	P0A964	LIT
cheA__b1888__JW1877	cheY__b1882__JW1871	P07363	P0AE67	LIT
cheZ__b1881__JW1870	cheY__b1882__JW1871	P0A9H9	P0AE67	LIT
flgE__b1076__JW1063	cheY__b1882__JW1871	P75937	P0AE67	LIT
fliM__b1945__JW1929	cheY__b1882__JW1871	P06974	P0AE67	LIT
gyrA__b2231__JW2225	cheY__b1882__JW1871	P0AES4	P0AE67	LIT
tar__b1886__JW1875	cheY__b1882__JW1871	P07017	P0AE67	LIT
atpH__b3735__JW3713	cheZ__b1881__JW1870	P0ABA4	P0A9H9	Y2H
